External ID,Parent External ID,Issue Type,Summary,Description,Epic Name,Priority,Story Points,Sprint,Labels
EPIC-1,,Epic,Epic 1 - Потребителски акаунти,"Регистрация, вход и ролев достъп в Trippilot.",Epic 1 - Потребителски акаунти,High,,Sprint 1 - MVP,"trippilot,accounts"
EPIC-2,,Epic,Epic 2 - Управление на събития,"Създаване, редакция и детайлна страница за събития.",Epic 2 - Управление на събития,High,,Sprint 1 - MVP,"trippilot,events"
EPIC-3,,Epic,Epic 3 - Записване и участие,"Регистрации, отказ, участници, съгласия, плащания и seat plan.",Epic 3 - Записване и участие,High,,Sprint 1 - MVP,"trippilot,registrations"
EPIC-4,,Epic,Epic 4 - Търсене и филтриране,"Търсене и филтриране на събития.",Epic 4 - Търсене и филтриране,Medium,,Sprint 1 - MVP,"trippilot,search"
EPIC-5,,Epic,Epic 5 - Администрация и контрол,"Управление на потребители, статистика и audit log.",Epic 5 - Администрация и контрол,High,,Sprint 2 - Improvements,"trippilot,admin"
US-1,EPIC-1,Story,US1 - Регистрация на нов потребител,"Като нов потребител искам да се регистрирам, за да използвам системата. AC: валидира име, имейл, парола и роля; показва грешка при невалиден или дублиран имейл; записва акаунта в базата; показва съобщение за успех.",,High,3,Sprint 1 - MVP,"accounts,registration"
US-1-T1,US-1,Task,US1 / Task 1 - Създаване на форма за регистрация,"Създаване на UI форма за регистрация.",,High,,Sprint 1 - MVP,"accounts,registration"
US-1-T2,US-1,Task,US1 / Task 2 - Полета за име имейл парола роля,"Добавяне на required полета за форма за регистрация.",,High,,Sprint 1 - MVP,"accounts,registration"
US-1-T3,US-1,Task,US1 / Task 3 - Валидация на имейл,"Проверка за валиден имейл адрес.",,High,,Sprint 1 - MVP,"accounts,validation"
US-1-T4,US-1,Task,US1 / Task 4 - Минимална дължина на паролата,"Валидация на парола минимум 8 символа.",,High,,Sprint 1 - MVP,"accounts,validation"
US-1-T5,US-1,Task,US1 / Task 5 - Запис в база данни,"Създаване на user запис в базата.",,High,,Sprint 1 - MVP,"accounts,database"
US-1-T6,US-1,Task,US1 / Task 6 - Успешно съобщение,"Показване на feedback при успешна регистрация.",,Medium,,Sprint 1 - MVP,"accounts,ui"
